antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Condenser'}),frozenset({'SmartTelevisions'}),0.010050251256281407,0.035175879396984924,0.005025125628140704,0.5,14.214285714285715,0.004671599202040353,1.92964824120603,0.9390862944162437
frozenset({'RoboticVacuums'}),frozenset({'CoolingPads'}),0.005025125628140704,0.005025125628140704,0.005025125628140704,1.0,199.0,0.0049998737405621075,inf,1.0000000000000002
frozenset({'CoolingPads'}),frozenset({'RoboticVacuums'}),0.005025125628140704,0.005025125628140704,0.005025125628140704,1.0,199.0,0.0049998737405621075,inf,1.0000000000000002
frozenset({'CordManagement'}),frozenset({'Cradles'}),0.010050251256281407,0.010050251256281407,0.005025125628140704,0.5,49.75,0.004924118077826317,1.979899497487437,0.9898477157360406
frozenset({'Cradles'}),frozenset({'CordManagement'}),0.010050251256281407,0.010050251256281407,0.005025125628140704,0.5,49.75,0.004924118077826317,1.979899497487437,0.9898477157360406
frozenset({'CordManagement'}),frozenset({'Keyboards'}),0.010050251256281407,0.02512562814070352,0.005025125628140704,0.5,19.9,0.004772606752354739,1.949748743718593,0.9593908629441625
frozenset({'Cradles'}),frozenset({'USBCables'}),0.010050251256281407,0.19597989949748743,0.005025125628140704,0.5,2.5512820512820515,0.003055478397010177,1.6080402010050252,0.6142131979695432
frozenset({'LaptopAccessories'}),frozenset({'DigitalKitchenScales'}),0.01507537688442211,0.03015075376884422,0.005025125628140704,0.33333333333333337,11.055555555555557,0.004570591651725966,1.4547738693467338,0.9234693877551019
frozenset({'LintShavers'}),frozenset({'DigitalKitchenScales'}),0.010050251256281407,0.03015075376884422,0.005025125628140704,0.5,16.583333333333336,0.004722102977197546,1.9396984924623115,0.9492385786802031
frozenset({'EthernetCables'}),frozenset({'DisposableBatteries'}),0.010050251256281407,0.010050251256281407,0.005025125628140704,0.5,49.75,0.004924118077826317,1.979899497487437,0.9898477157360406
frozenset({'DisposableBatteries'}),frozenset({'EthernetCables'}),0.010050251256281407,0.010050251256281407,0.005025125628140704,0.5,49.75,0.004924118077826317,1.979899497487437,0.9898477157360406
frozenset({'DisposableBatteries'}),frozenset({'Mice'}),0.010050251256281407,0.08542713567839195,0.005025125628140704,0.5,5.852941176470589,0.004166561450468422,1.829145728643216,0.8375634517766497
frozenset({'DisposableBatteries'}),frozenset({'USBCables'}),0.010050251256281407,0.19597989949748743,0.005025125628140704,0.5,2.5512820512820515,0.003055478397010177,1.6080402010050252,0.6142131979695432
frozenset({'DomeCameras'}),frozenset({'GeneralPurposeBatteries&BatteryChargers'}),0.01507537688442211,0.01507537688442211,0.005025125628140704,0.33333333333333337,22.111111111111114,0.004797858639933335,1.477386934673367,0.9693877551020408
frozenset({'GeneralPurposeBatteries&BatteryChargers'}),frozenset({'DomeCameras'}),0.01507537688442211,0.01507537688442211,0.005025125628140704,0.33333333333333337,22.111111111111114,0.004797858639933335,1.477386934673367,0.9693877551020408
frozenset({'DomeCameras'}),frozenset({'SteamIrons'}),0.01507537688442211,0.020100502512562814,0.005025125628140704,0.33333333333333337,16.583333333333336,0.004722102977197546,1.4698492462311559,0.9540816326530612
frozenset({'StylusPens'}),frozenset({'DomeCameras'}),0.005025125628140704,0.01507537688442211,0.005025125628140704,1.0,66.33333333333334,0.004949369965404914,inf,0.9898989898989901
frozenset({'DomeCameras'}),frozenset({'StylusPens'}),0.01507537688442211,0.005025125628140704,0.005025125628140704,0.33333333333333337,66.33333333333334,0.004949369965404914,1.492462311557789,1.0
frozenset({'EggBoilers'}),frozenset({'DryIrons'}),0.010050251256281407,0.02512562814070352,0.005025125628140704,0.5,19.9,0.004772606752354739,1.949748743718593,0.9593908629441625
frozenset({'VacuumSealers'}),frozenset({'DryIrons'}),0.005025125628140704,0.02512562814070352,0.005025125628140704,1.0,39.8,0.004898866190247721,inf,0.9797979797979799
frozenset({'Gamepads'}),frozenset({'DustCovers'}),0.005025125628140704,0.010050251256281407,0.005025125628140704,1.0,99.5,0.0049746218529835105,inf,0.994949494949495
frozenset({'DustCovers'}),frozenset({'Gamepads'}),0.010050251256281407,0.005025125628140704,0.005025125628140704,0.5,99.5,0.0049746218529835105,1.9899497487437185,1.0
